source.name,author,news_count
AOL,Svea Herbst-Bayliss and David  Carnevali,1
Adafruit.com,Zay,1
Advocate.com,Ryan Adamczeski,1
AgWeb,Tyne Morgan,1
Anthropology.net,Kambiz Kamrani,1
Ars Technica,Beth Mole,2
BBC News,https://www.facebook.com/bbcnews,4
Bengreenfieldlife.com,support@bengreenfieldfitness.com (Ben Greenfield),2
Biztoc.com,benzinga.com,1
Biztoc.com,fiercepharma.com,1
Biztoc.com,finance.yahoo.com,1
Biztoc.com,fortune.com,2
Biztoc.com,investors.com,1
Boston Herald,Tribune News Service,2
Breitbart News,"Frances Martel, Frances Martel",1
CBS News,Kerry Breen,1
CNN,Opinion by Jalal Baig,1
ComingSoon.net,Apoorv Rastogi,1
ComingSoon.net,Sounak Sengupta,1
Cracked.com,Ryan Menezes,1
Cshlp.org,"Che, H., Jiang, P., Choy, L. Y. L., Cheng, S. H., Peng, W., Chan, R. W. Y., Liu, J., Zhou, Q., Lam, W. K. J., Yu, S. C. Y., Lau, S. L., Leung, T. Y., Wong, J., Wong, V. W.-S., Wong, G. L. H., Chan, S. L., Chan, K. C. A., Lo, Y. M. D.",1
Cshlp.org,"Liu, Y., Niu, J., Ye, F., Solberg, T., Lu, B., Wang, C., Nowacki, M., Gao, S.",1
Dnyuz.com,New York Times,2
EURACTIV,"Antonia Kotseva, Krassen Nikolov",1
Elifesciences.org,"jzhu@uwo.ca (Chuang Wang), jzhu@uwo.ca (Dibang Shi), jzhu@uwo.ca (Eryao Zhang), jzhu@uwo.ca (Fangyan Wang), jzhu@uwo.ca (Furong Huang), jzhu@uwo.ca (Gaoyi Ruan), jzhu@uwo.ca (Jesse Zhu), jzhu@uwo.ca (Sisi Wang), jzhu@uwo.ca (Wantie Wang), jzhu@uwo.ca (Xiaoting Wang), jzhu@uwo.ca (Xiawei Ji), jzhu@uwo.ca (Xinyu Wang), jzhu@uwo.ca (Xiujie Liu), jzhu@uwo.ca (Yan Zhou), jzhu@uwo.ca (Yuqing Ye), jzhu@uwo.ca (Zenglin Tan), jzhu@uwo.ca (Zhengyang Song)",1
Elifesciences.org,"pierce.ogden@gmail.com (George M Church), pierce.ogden@gmail.com (Nina K Jain), pierce.ogden@gmail.com (Pierce J Ogden)",1
Elifesciences.org,"seeber.pa@gmail.com (Alexandra Schmidt), seeber.pa@gmail.com (Beth Shapiro), seeber.pa@gmail.com (Kathleen Stoof-Leichsenring), seeber.pa@gmail.com (Katie Moon), seeber.pa@gmail.com (Laura Batke), seeber.pa@gmail.com (Laura S Epp), seeber.pa@gmail.com (Peter Andreas Seeber), seeber.pa@gmail.com (Samuel H Vohr), seeber.pa@gmail.com (Yi Wang), seeber.pa@gmail.com (Yury Dvornikov)",1
Everything-everywhere.com,Gary Arndt,1
FDA.gov,FDA,1
Forbes,"Abdo Riani, Senior Contributor, 
 Abdo Riani, Senior Contributor
 https://www.forbes.com/sites/abdoriani/",1
Forbes,"Alex Knapp, Forbes Staff, 
 Alex Knapp, Forbes Staff
 https://www.forbes.com/sites/alexknapp/",2
Forbes,"Andrew Wight, Contributor, 
 Andrew Wight, Contributor
 https://www.forbes.com/sites/andrewwight/",1
Forbes,"Arianna Johnson, Forbes Staff, 
 Arianna Johnson, Forbes Staff
 https://www.forbes.com/sites/ariannajohnson/",1
Forbes,"Carolyn Rosenblatt, Contributor, 
 Carolyn Rosenblatt, Contributor
 https://www.forbes.com/sites/carolynrosenblatt/",1
Forbes,"Eva Epker, Contributor, 
 Eva Epker, Contributor
 https://www.forbes.com/sites/evaepker/",1
Forbes,"GrrlScientist, Senior Contributor, 
 GrrlScientist, Senior Contributor
 https://www.forbes.com/sites/grrlscientist/",1
