id,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name,source
12.0,,What makes a pathogen antibiotic-resistant?,"In a comparative study, researchers describe how two notable pathogens -- Escherichia coli and Acinetobacter baumannii -- employ distinctly different tools to fend off antibiotic attack by two different drugs.",https://www.sciencedaily.com/releases/2024/03/240307110717.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-07T16:07:17Z,"Antimicrobial resistance is a story of constantly moving parts and players. With every new or tweaked antibiotic or antimicrobial drug, the targeted pathogens begin the evolutionary dance of acquirin… [+4569 chars]",,Science Daily,
13.0,Science X,How a natural compound from sea squirts combats cancer,"Numerous anti-cancer drugs function by targeting the DNA within cancerous cells, halting their proliferation. Yet, cancer cells occasionally develop mechanisms to repair the damage inflicted by these drugs, diminishing their effectiveness.",https://phys.org/news/2024-03-natural-compound-sea-squirts-combats.html,https://scx2.b-cdn.net/gfx/news/hires/2024/how-a-natural-compound.jpg,2024-03-12T14:11:19Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+3412 chars]",,Phys.Org,
14.0,Zhang Nannan,"Researchers develop affordable, user-friendly method for single-cell reactions at the nanoliter level","Scaling down single-cell reactions to the nanoliter level is critical to minimize the risk of contamination, increase reaction efficiency, and reduce costs. Researchers from the Single-cell Center of the Qingdao Institute of Bioenergy and Bioprocess Technolog…",https://phys.org/news/2024-03-user-friendly-method-cell-reactions.html,https://scx2.b-cdn.net/gfx/news/hires/2024/researchers-develop-af.jpg,2024-03-22T16:41:03Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+3534 chars]",,Phys.Org,
15.0,Science X,A frozen chunk of genome rewrites our understanding of bird evolution,"An enormous meteor spelled doom for most dinosaurs 65 million years ago. But not all. In the aftermath of the extinction event, birds—technically dinosaurs themselves—flourished.",https://phys.org/news/2024-04-frozen-chunk-genome-rewrites-bird.html,https://scx2.b-cdn.net/gfx/news/hires/2024/weve-had-bird-evolutio.jpg,2024-04-01T19:00:01Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+4569 chars]",,Phys.Org,
16.0,Aardvark Cheeselog,DNA Sequencing Services Reveal Unexpected Prevalence of Incest,"An unexpected side effect of genealogical DNA sequencing has been to reveal something of the true dimensions of the population of children born of incest. In almost all cases where both parents can be identified, the father is either the girl's father or an o…",https://www.metafilter.com/202976/DNA-Sequencing-Services-Reveal-Unexpected-Prevalence-of-Incest,http://cdn.mefi.us/images/mefi/apple-touch-icon.png,2024-03-19T19:19:43Z,MetaFilter is a weblog that anyone can contribute a link or a comment to. A typical weblog is one person posting their thoughts on the unique things they find on the web. This website exists to break… [+120 chars],,Metafilter.com,
17.0,Paul McClure,Beethoven’s DNA reveals he just wasn’t that musical,"Analysis of Beethoven’s DNA has revealed that he had a low genetic predisposition for beat synchronization, an ability that’s closely related to musicality. This is according to researchers who set out to show how making genetic predictions for individuals, i…",https://newatlas.com/science/beethoven-genetic-musicality/,https://assets.newatlas.com/dims4/default/905cb35/2147483647/strip/true/crop/2000x1050+0+142/resize/1200x630!/quality/90/?url=http%3A%2F%2Fnewatlas-brightspot.s3.amazonaws.com%2F8f%2F1a%2F4143fc214716a783cc5cd11c27f3%2Fbeethoven-being-booed.jpg&na.image_optimisation=0,2024-03-27T01:44:55Z,"Analysis of Beethovens DNA has revealed that he had a low genetic predisposition for beat synchronization, an ability thats closely related to musicality. This is according to researchers who set out… [+4990 chars]",,New Atlas,
18.0,顯微觀點,左看右看 貓頭鷹、寶石竟是斑馬魚,"這個看起來像貓頭鷹的東西，竟然是顯微鏡下的斑馬魚？！
顯微攝影帶你微觀世界之美！",https://pansci.asia/archives/375199,https://pansci.asia/wp-content/uploads/2024/03/image-14-1020x422.png,2024-03-28T06:36:00Z,"2022 4 Nature DNA
palmskin
3 + 5 + 4 1 + 2 + 6 
 2,000 3,000 
germline cell 2 4 meiosissomatic cell 1 mitosis
 DNA 1 endoreplication 1 cell-cell fusion
 DNA 
DNA DNA histone DNA 
 DNA DNA asy… [+92 chars]",,Pansci.asia,
19.0,finance.yahoo.com,Cathie Wood's Ark Invest Has 14% of Its Portfolio Invested in 2 Growth Stocks,"Cathie Wood is the lead portfolio manager at Ark Invest, an asset management firm that runs a series of thematic index funds focused on disruptive technologies, everything from artificial intelligence and robotics to blockchain and DNA sequencing. Wood ranked…",https://biztoc.com/x/50d59c7851cc3eb7,https://c.biztoc.com/p/50d59c7851cc3eb7/s.webp,2024-04-01T10:10:06Z,"Cathie Wood is the lead portfolio manager at Ark Invest, an asset management firm that runs a series of thematic index funds focused on disruptive technologies, everything from artificial intelligenc… [+292 chars]",,Biztoc.com,
20.0,Clare Wilson,What do home faecal test kits really reveal about our gut microbiome?,"Many firms sell direct-to-consumer faecal testing kits, but an investigation has revealed that scientists don't yet know what makes for a healthy gut microbiome",https://www.newscientist.com/article/2422458-what-do-home-faecal-test-kits-really-reveal-about-our-gut-microbiome/,https://images.newscientist.com/wp-content/uploads/2024/03/14161016/SEI_195998227.jpg,2024-03-14T18:00:47Z,"Faeces reveals the bacteria in our gut, but we don’t yet know which are optimal
STEVE GSCHMEISSNER/Science Photo Library/Alamy
The science of our gut microbiome is often painted as one of the hotte… [+4251 chars]",new-scientist,New Scientist,
21.0,Science X,Exploring the genetic composition of fungi and its role in plant health,"The complex and very diverse world of fungi is often referred to as the fifth kingdom of organisms. It includes various yeasts, molds, and mushrooms. A team of scientists from the University of Ottawa (uOttawa) has uncovered the genetic secrets of a mysteriou…",https://phys.org/news/2024-03-exploring-genetic-composition-fungi-role.html,https://scx2.b-cdn.net/gfx/news/hires/2024/exploring-the-genetic-1.jpg,2024-03-07T17:22:49Z,"The complex and very diverse world of fungi is often referred to as the fifth kingdom of organisms. It includes various yeasts, molds, and mushrooms. A team of scientists from the University of Ottaw… [+3612 chars]",,Phys.Org,
22.0,"Helmy Eltoukhy, Forbes Councils Member, 
 Helmy Eltoukhy, Forbes Councils Member
 https://www.forbes.com/sites/forbesbusinesscouncil/people/helmyeltoukhy/","Unlocking Disease Prevention: Lessons From The $1,000 Genome","Even with the promise of genome sequencing, what hurdles should those in the diagnostics industry consider?",https://www.forbes.com/sites/forbesbusinesscouncil/2024/03/18/unlocking-disease-prevention-lessons-from-the-1000-genome/,https://imageio.forbes.com/specials-images/imageserve/65f452583341535e3502cc02/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-03-18T11:00:00Z,"Helmy Eltoukhy is the chairman and co-CEO of a leading precision oncology company Guardant Health.
getty
The $1,000 Genome. Much was promised when the scientific community reached this momentous mi… [+5852 chars]",,Forbes,
23.0,Jessica Ryan,Researchers develop near-chromosome-level genome for the Mojave poppy bee,"Scientists at the United States Department of Agriculture (USDA)'s Agricultural Research Service (ARS) and university research partners have developed a near chromosome-level genome for the Mojave poppy bee, a specialist pollinator of conservation concern, ac…",https://phys.org/news/2024-04-chromosome-genome-mojave-poppy-bee.html,https://scx2.b-cdn.net/gfx/news/hires/2024/researchers-develop-ne-6.jpg,2024-04-03T17:33:04Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+4028 chars]",,Phys.Org,
24.0,Agência Fapesp,"Arbovírus, mosquitos e potenciais hospedeiros são rastreados em tempo real na cidade de São Paulo","Tecnologia usada para sequenciar rapidamente as primeiras infecções pelo SARS-CoV-2 no Brasil foi testada com sucesso no monitoramento de vírus transmitidos por vetores, como é o caso de dengue, zika, chikungunya e febre amarela
The post Arbovírus, mosquitos …",https://gizmodo.uol.com.br/arbovirus-mosquitos-e-potenciais-hospedeiros-sao-rastreados-em-tempo-real-na-cidade-de-sao-paulo/,https://gizmodo.uol.com.br/wp-content/blogs.dir/8/files/2024/04/mosquitos-fapesp.jpg,2024-04-06T23:02:20Z,"Texto: Maria Fernanda Ziegler | Agência FAPESP
A mesma tecnologia usada para sequenciar o vírus SARS-CoV-2 em tempo recorde no início da pandemia de COVID-19 foi testada, com sucesso, no monitoramen… [+6567 chars]",,Uol.com.br,
25.0,Geeks are Sexy,"DNA says you’re related to a Viking, a medieval German Jew or a 1700s enslaved African? What a genetic match really means","A genetic match to an ancient person doesn’t mean you’re more related genealogically. Mark Edward Atkinson/Tetra Images via Getty Images Shai Carmi, Hebrew University of Jerusalem and Harald Ringbauer, Max Planck Institute for Evolutionary Anthropology In 202…",https://www.geeksaresexy.net/2024/04/01/dna-says-youre-related-to-a-viking-a-medieval-german-jew-or-a-1700s-enslaved-african-what-a-genetic-match-really-means/,https://images.theconversation.com/files/584843/original/file-20240327-26-szzgdm.jpg?ixlib=rb-1.1.0&rect=617%2C203%2C4594%2C3266&q=45&auto=format&w=754&fit=clip,2024-04-01T11:30:45Z,"A genetic match to an ancient person doesnt mean youre more related genealogically. Mark Edward Atkinson/Tetra Images via Getty Images
Shai Carmi, Hebrew University of Jerusalem and Harald Ringbauer… [+9631 chars]",,Geeksaresexy.net,
26.0,Science X,What makes a pathogen antibiotic-resistant?,"Antimicrobial resistance is a story of constantly moving parts and players. With every new or tweaked antibiotic or antimicrobial drug, the targeted pathogens begin the evolutionary dance of acquiring resistance, prompting researchers to constantly develop wo…",https://phys.org/news/2024-03-pathogen-antibiotic-resistant.html,https://scx2.b-cdn.net/gfx/news/hires/2024/what-makes-a-pathogen.jpg,2024-03-07T16:11:03Z,"Antimicrobial resistance is a story of constantly moving parts and players. With every new or tweaked antibiotic or antimicrobial drug, the targeted pathogens begin the evolutionary dance of acquirin… [+4830 chars]",,Phys.Org,
27.0,Jules Bernstein,Discovery could end global amphibian fungal pandemic,"A fungus devastating frogs and toads on nearly every continent may have an Achilles heel. Scientists have discovered a virus that infects the fungus, and that could be engineered to save the amphibians.",https://phys.org/news/2024-04-discovery-global-amphibian-fungal-pandemic.html,https://scx2.b-cdn.net/gfx/news/hires/2024/discovery-could-end-gl.jpg,2024-04-03T14:53:04Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+4125 chars]",,Phys.Org,
28.0,Crystal Tse,Carl Icahn Drops Plans for New Proxy Fight at Illumina,"(Bloomberg) -- Carl Icahn has decided not to launch a fresh proxy fight at DNA sequencing company Illumina Inc. this year, a person familiar with the matter ...",https://finance.yahoo.com/news/carl-icahn-drops-plans-proxy-184113287.html,https://s.yimg.com/ny/api/res/1.2/_TPUu4x0665KD9T6l1jb6w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_markets_842/0dfcd5b10d05596c15147a5634288088,2024-03-12T18:41:13Z,"(Bloomberg) -- Carl Icahn has decided not to launch a fresh proxy fight at DNA sequencing company Illumina Inc. this year, a person familiar with the matter said.
Most Read from Bloomberg
The activ… [+775 chars]",,Yahoo Entertainment,
29.0,,Severe hurricanes boost influx of juveniles and gene flow in a coral reef sponge,A study is the first to evaluate substrate recolonization by sponges in the U.S. Virgin Islands after two catastrophic storms using genetic analyses to understand how much clonality verses sexual recruitment occurs on coral reefs post-storms. Results show tha…,https://www.sciencedaily.com/releases/2024/03/240326103948.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-26T14:39:48Z,"Named for its ropy-looking long branches, Aplysina cauliformis, a coral reef sponge, provides a critical 3D habitat for marine organisms and helps to stabilize the foundation of coral reefs. However,… [+5419 chars]",,Science Daily,
30.0,"Victoria Forster, Contributor, 
 Victoria Forster, Contributor
 https://www.forbes.com/sites/victoriaforster/",Why Is The FDA Concerned About Secondary Cancers After CAR T Cells?,"Back in November, the FDA announced that it was looking into reports of secondary cancers potentially caused by the use of CAR T cells in a small number of patients.",https://www.forbes.com/sites/victoriaforster/2024/03/13/why-is-the-fda-concerned-about-secondary-cancers-after-car-t-cells/,https://imageio.forbes.com/specials-images/imageserve/65f20b7cb64b9f05101ef5c5/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-03-13T20:30:25Z,CAR T cells have been very successful therapies for people with blood cancers who have not responded ... [+] to other treatments. But now the FDA is concerned that the cellular therapy might be linke… [+3753 chars],,Forbes,
31.0,Science X,A simple and robust experimental process for protein engineering,"A protein engineering method using simple, cost-effective experiments and machine learning models can predict which proteins will be effective for a given purpose, according to a new study by University of Michigan researchers.",https://phys.org/news/2024-03-simple-robust-experimental-protein.html,https://scx2.b-cdn.net/gfx/news/hires/2024/a-simple-and-robust-ex.jpg,2024-03-13T08:43:25Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+2840 chars]",,Phys.Org,
32.0,Paul McClure,Radiation-proof Chernobyl worms offer answers about cancer,"Studying a species of microscopic worms exposed to almost forty years of high radiation following an explosion at a Ukrainian nuclear power plant, researchers couldn’t find signs of genetic damage caused by the exposure. They believe the findings will help gu…",https://newatlas.com/biology/nematodes-radiation-dna-damage/,https://assets.newatlas.com/dims4/default/4c2186d/2147483647/strip/true/crop/2000x1050+0+141/resize/1200x630!/quality/90/?url=http%3A%2F%2Fnewatlas-brightspot.s3.amazonaws.com%2F0d%2F11%2F01d9959f48188787165a32655df7%2Fchornobyl-wormies.jpeg&na.image_optimisation=0,2024-03-07T08:35:00Z,"Studying a species of microscopic worms exposed to almost forty years of high radiation following an explosion at a Ukrainian nuclear power plant, researchers couldnt find signs of genetic damage cau… [+4200 chars]",,New Atlas,
33.0,Gary Arndt,The Discovery of DNA,"Podcast Transcript One of the most important advancements in the 20th century was the identification of the structure of the DNA molecule. However, that discovery didn’t appear out of nowhere. It was part of a century-long process that included many advanceme…",https://everything-everywhere.com/the-discovery-of-dna/,https://photos.smugmug.com/Other/n-hRFP2/Podcast-Images/i-6dZhxJK/0/FWL33hdgSg8WqPk8Ps9QK3NNWQXFZGgXdSBLhzwSc/L/1339epart-L.jpg,2024-03-07T08:57:16Z,"Subscribe Apple | Spotify | Amazon | Player.FM | TuneInCastbox | Podurama | Podcast Republic | RSS | Patreon
One of the most important advancements in the 20th century was the identification of the … [+11526 chars]",,Everything-everywhere.com,
34.0,Keumars Afifi-Sabet,New DNA-infused computer chip can perform calculations and make future AI models far more efficient,The new processor stores data in modified DNA molecules and uses microfluidic channels to perform basic computations.,https://www.livescience.com/technology/computing/new-dna-infused-computer-chip-can-perform-calculations-and-make-future-ai-models-far-more-efficient,https://cdn.mos.cms.futurecdn.net/SxASRzYBvMQMD5hm7ToXyJ-1200-80.jpg,2024-03-08T10:45:29Z,"Scientists have created a new biocomputing chip that makes calculations using a DNA substrate, including mathematical operations essential to artificial intelligence (AI) training and big data proces… [+3245 chars]",,Live Science,
35.0,"Leslie Katz, Contributor, 
 Leslie Katz, Contributor
 https://www.forbes.com/sites/lesliekatz/","Scientists Reconstruct Key Chinese Emperor’s Face Using 1,500-Year-Old DNA","Emperor Wu, who ruled the Northern Zhou dynasty in China in the 6th century, gets a photorealistic depiction using genetic material extracted from his bones.",https://www.forbes.com/sites/lesliekatz/2024/04/02/scientists-reconstruct-key-chinese-emperors-face-using-1500-year-old-dna/,https://imageio.forbes.com/specials-images/imageserve/660c61102709d8d21a0434f2/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-04-02T20:18:19Z,"The facial reconstruction of Emperor Wu, who ruled the Northern Zhou dynasty in China from 560 to ... [+] 578.
Pianpian Wei
Neanderthals. Egyptian mummies. King Richard the III. Science continues t… [+4713 chars]",,Forbes,
36.0,PTI,Multi-institutional team tracks virus behind India’s lumpy skin cattle disease,"A viral infection caused by the Lumpy Skin Disease Virus (LSDV), it is transmitted by insects like flies and mosquitoes. It causes fever and skin nodules, and can be fatal for cattle.",https://indianexpress.com/article/india/lumpy-skin-cattle-disease-india-multi-institutional-team-9248981/,https://images.indianexpress.com/2024/04/Multi-institutional-team-tracks-virus-behind-Indias-lumpy-skin-cattle-disease.jpg,2024-04-03T12:14:52Z,"A multi-institutional team has provided critical insights into the evolution and origins of the virus strains fueling lumpy skin cattle disease outbreak, the Indian Institute of Science (IISc) has sa… [+4296 chars]",,The Indian Express,
37.0,,Mapping the evolution of urinary tract cancer cells,"Researchers have performed the most comprehensive analysis to date of cancer of the ureters or the urine-collection cavities in the kidney, known as upper tract urothelial carcinoma (UTUC). The study, which compared the characteristics of primary and metastat…",https://www.sciencedaily.com/releases/2024/03/240318142408.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-18T18:24:08Z,"Researchers at Weill Cornell Medicine have performed the most comprehensive analysis to date of cancer of the ureters or the urine-collection cavities in the kidney, known as upper tract urothelial c… [+4945 chars]",,Science Daily,
38.0,Science X,Computational tools fuel reconstruction of new and improved bird family tree,"An international team of scientists has built the largest and most detailed bird family tree to date—an intricate chart delineating 93 million years of evolutionary relationships between 363 bird species, representing 92% of all bird families.",https://phys.org/news/2024-04-tools-fuel-reconstruction-bird-family.html,https://scx2.b-cdn.net/gfx/news/hires/2024/computational-tools-fu.jpg,2024-04-01T19:00:01Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+6715 chars]",,Phys.Org,
39.0,Sahana Sitaraman,Scientists just discovered a new way cells control their genes — it's called 'backtracking',"Scientists have discovered that, when a DNA-reading enzyme moves backwards along a gene, it may do so to help control when the gene is turned on.",https://www.livescience.com/health/genetics/scientists-just-discovered-a-new-way-cells-control-their-genes-its-called-backtracking,https://cdn.mos.cms.futurecdn.net/PwgoniQusNVfCKjKLTTmGG-1200-80.jpg,2024-03-21T12:00:18Z,"The human body's roughly 30 trillion cells
 don't need all of their genes switched on at once. Instead, cells tightly control the activity of their genes — and recently, scientists uncovered a previ… [+5386 chars]",,Live Science,
40.0,Sarah Sharman,Cracking the pear genome: How students helped unlock a new tool for the pear industry,Pears are big business in the Pacific Northwest US. But did you know that traditional pear breeding has remained largely unchanged for centuries?,https://phys.org/news/2024-03-pear-genome-students-tool-industry.html,https://scx2.b-cdn.net/gfx/news/hires/2024/cracking-the-pear-geno-1.jpg,2024-03-15T18:13:24Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+4843 chars]",,Phys.Org,
41.0,"Meng Yu, Xiaohui Tang, Zhenhua Li, Weidong Wang, Shaopeng Wang, Min Li, Qiuliyang Yu, Sijia Xie, Xiaolei Zuo, Chang Chen",High-throughput DNA synthesis for data storage,"Chem. Soc. Rev., 2024, Advance ArticleDOI: 10.1039/D3CS00469D, Review Article Open Access &nbsp This article is licensed under a Creative Commons Attribution-NonCommercial 3.0 Unported Licence.Meng Yu, Xiaohui Tang, Zhenhua Li, Weidong Wang, Shaopeng Wang, Mi…",https://pubs.rsc.org/en/content/articlelanding/2024/cs/d3cs00469d,https://pubs.rsc.org/en/Content/Image/GA/D3CS00469D,2024-03-18T00:00:00Z,"* 
 Corresponding authors
a
 Institute of Medical Chips, Ruijin Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China
E-mail:sijia.xie@shsmu.edu.cn, chang.chen@shsmu.edu.cn… [+626 chars]",,Royal Society of Chemistry,
42.0,"Justin Agan, Alyson Chapman",Unseen travelers: Dust storms may spread bacteria and fungi around the world,"When allergy season hits, many blame their reactions on the local flora in the spring. However, African Saharan-Sahelian dust plumes, large enough to register on weather radar, travel around the globe every summer, bringing their own form of air pollution.",https://phys.org/news/2024-03-unseen-storms-bacteria-fungi-world.html,https://scx2.b-cdn.net/gfx/news/hires/2024/unseen-travelers-in-du-1.jpg,2024-03-26T13:20:07Z,"This article has been reviewed according to Science X's 
editorial process
and policies.
Editors have highlighted
the following attributes while ensuring the content's credibility:
fact-checked… [+5984 chars]",,Phys.Org,
43.0,,Single genomic test promises accelerated diagnoses for rare genetic diseases,A single genetic test could potentially replace the current two-step approach to diagnosing rare developmental disorders in children. This shift could enable earlier diagnoses for families and save vital resources.,https://www.sciencedaily.com/releases/2024/03/240328162619.htm,https://www.sciencedaily.com/images/scidaily-icon.png,2024-03-28T20:26:19Z,A single genetic test could potentially replace the current two-step approach to diagnosing rare developmental disorders in children. This shift could enable earlier diagnoses for families and save t… [+3454 chars],,Science Daily,
44.0,Svea Herbst-Bayliss and David  Carnevali,"Exclusive-Icahn drops Illumina board challenge threat, sources say","Activist investor Carl Icahn has dropped a threat to mount a new challenge to Illumina's board, sparing the U.S. gene sequencing company from its second...",https://www.aol.com/news/exclusive-icahn-drops-illumina-board-175709974.html,https://media.zenfs.com/en/aol_reuters_29/babb71c3b4fbc655ba039fb67ffeccf3,2024-03-12T17:57:09Z,"By Svea Herbst-Bayliss and David Carnevali
NEW YORK (Reuters) - Activist investor Carl Icahn has dropped a threat to mount a new challenge to Illumina's board, sparing the U.S. gene sequencing compa… [+2919 chars]",,AOL,
45.0,"GrrlScientist, Senior Contributor, 
 GrrlScientist, Senior Contributor
 https://www.forbes.com/sites/grrlscientist/",A Virus May Help Save The World’s Amphibians From Extinction,"A fungus that is devastating populations of  frogs and toads around the world may be vulnerable to a virus that can infect it, and that scientists could be genetically engineered to kill it.",https://www.forbes.com/sites/grrlscientist/2024/04/04/a-virus-may-help-save-the-worlds-amphibians-from-extinction/,"https://imageio.forbes.com/specials-images/imageserve/660d75aa09a3579e911bc75c/0x0.jpg?format=jpg&crop=1280,721,x0,y27,safe&height=900&width=1600&fit=bounds",2024-04-04T17:44:49Z,"A fungus that is devastating populations of frogs and toads around the world may be vulnerable to a virus that can infect it, and that scientists could be genetically engineered to kill it
The Panam… [+7227 chars]",,Forbes,
